date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-03-13 00:00:00+00:00,158.83,161.91,140.73,147.5,92727446,155.9604476782,158.9848018861,138.1874570405,144.8351446989,92727446,0.0,1.0
2020-03-16 00:00:00+00:00,135.42,149.35,135.0,140.0,87905868,132.9733918314,146.65172109,132.5609798939,137.4706458159,87905868,0.0,1.0
2020-03-17 00:00:00+00:00,146.57,147.5,135.0,140.0,81059817,143.9219468374,144.8351446989,132.5609798939,137.4706458159,81059817,0.0,1.0
2020-03-18 00:00:00+00:00,140.4,146.0,135.02,138.0,81593173,137.8634190897,143.3622449223,132.5806185576,135.5067794471,81593173,0.0,1.0
2020-03-19 00:00:00+00:00,142.71,150.15,139.0,142.77,85922661,140.1316847456,147.4372676376,136.4887126315,140.1906007367,85922661,0.0,1.0
2020-03-20 00:00:00+00:00,137.35,147.1,135.86,146.0,84866215,134.8685228773,144.4423714251,133.4054424325,143.3622449223,84866215,0.0,1.0
2020-03-23 00:00:00+00:00,135.98,140.57,132.52,137.01,78975176,133.5232744146,138.030347731,130.1257855966,134.5346655946,78975176,0.0,1.0
2020-03-24 00:00:00+00:00,148.34,149.6,141.27,143.75,82516727,145.6599685738,146.8972043861,138.7177009601,141.1528952574,82516727,0.0,1.0
2020-03-25 00:00:00+00:00,146.92,154.33,144.44,148.91,75638224,144.265623452,151.5417483484,141.8304291546,146.2196704889,75638224,0.0,1.0
2020-03-26 00:00:00+00:00,156.11,156.66,148.37,148.4,64694427,153.2895894166,153.829652668,145.6894265693,145.7188845649,64694427,0.0,1.0
2020-03-27 00:00:00+00:00,149.7,154.89,149.2,151.75,57042291,146.9953977046,152.0916309316,146.5044311124,149.0083607326,57042291,0.0,1.0
2020-03-30 00:00:00+00:00,160.23,160.6,150.01,152.44,63420326,157.3351541363,157.6984694145,147.2997969918,149.6858946298,63420326,0.0,1.0
2020-03-31 00:00:00+00:00,157.71,164.78,156.56,159.4,77927186,154.8606825116,161.8029501253,153.7314593496,156.5201495933,77927186,0.0,1.0
2020-04-01 00:00:00+00:00,152.11,157.75,150.82,153.0,57969926,149.361856679,154.899959839,148.0951628711,150.2357772131,57969926,0.0,1.0
2020-04-02 00:00:00+00:00,155.26,155.48,150.36,151.86,49630735,152.4549462098,152.6709715104,147.6434736063,149.1163733829,49630735,0.0,1.0
2020-04-03 00:00:00+00:00,153.83,157.38,152.19,155.1,41243284,151.0507817562,154.5366445608,149.4404113337,152.2978369003,41243284,0.0,1.0
2020-04-06 00:00:00+00:00,165.27,166.5,157.58,160.32,67111697,162.2840973857,163.4918752025,154.7330311977,157.4235281229,67111697,0.0,1.0
2020-04-07 00:00:00+00:00,163.49,170.0,163.26,169.59,62769038,160.5362563175,166.9286413479,160.310411685,166.5260487423,62769038,0.0,1.0
2020-04-08 00:00:00+00:00,165.13,166.67,163.5,165.67,48318234,162.1466267399,163.6588038438,160.5460756493,162.6768706594,48318234,0.0,1.0
2020-04-09 00:00:00+00:00,165.14,167.37,163.33,166.36,51431775,162.1564460717,164.3461570729,160.379147008,163.3544045567,51431775,0.0,1.0
2020-04-13 00:00:00+00:00,165.51,165.57,162.3,164.35,41905264,162.5197613499,162.578677341,159.367755828,161.380718856,41905264,0.0,1.0
2020-04-14 00:00:00+00:00,173.7,173.75,168.0,169.0,52874338,170.5617941302,170.6108907894,164.9647749791,165.9467081635,52874338,0.0,1.0
2020-04-15 00:00:00+00:00,171.88,173.57,169.24,171.2,40940833,168.7746757346,170.4341428162,166.1823721278,168.1069611692,40940833,0.0,1.0
2020-04-16 00:00:00+00:00,177.04,177.28,172.9,174.3,50479610,173.8414509661,174.0771149303,169.7762475827,171.1509540408,50479610,0.0,1.0
2020-04-17 00:00:00+00:00,178.6,180.0,175.87,179.5,52765625,175.3732667337,176.7479731919,172.6925891403,176.2570065997,52765625,0.0,1.0
2020-04-20 00:00:00+00:00,175.06,178.75,174.99,176.63,36669595,171.897223261,175.5205567114,171.828487938,173.4388583605,36669595,0.0,1.0
2020-04-21 00:00:00+00:00,167.82,173.67,166.11,173.5,56203749,164.7880270059,170.5323361346,163.1089212606,170.3654074933,56203749,0.0,1.0
2020-04-22 00:00:00+00:00,173.52,174.0,170.82,171.39,34651604,170.385046157,170.8563740855,167.7338265591,168.2935284742,34651604,0.0,1.0
2020-04-23 00:00:00+00:00,171.42,175.06,170.91,174.11,32790804,168.3229864697,171.897223261,167.8222005457,170.9643867358,32790804,0.0,1.0
2020-04-24 00:00:00+00:00,174.55,174.56,170.71,172.06,34305320,171.3964373369,171.4062566688,167.6258139088,168.9514237078,34305320,0.0,1.0
2020-04-27 00:00:00+00:00,174.05,176.9,173.3,176.59,33194384,170.9054707447,173.7039803203,170.1690208564,173.3995810331,33194384,0.0,1.0
2020-04-28 00:00:00+00:00,169.81,175.67,169.39,175.59,34392694,166.7420740429,172.4962025034,166.3296621054,172.4176478487,34392694,0.0,1.0
2020-04-29 00:00:00+00:00,177.43,177.68,171.88,173.22,51286559,174.224404908,174.4698882041,168.7746757346,170.0904662017,51286559,0.0,1.0
2020-04-30 00:00:00+00:00,179.21,180.4,176.23,180.0,53875857,175.9722459762,177.1407464657,173.0460850867,176.7479731919,53875857,0.0,1.0
2020-05-01 00:00:00+00:00,174.57,178.64,174.01,175.8,39370474,171.4160760006,175.4125440611,170.8661934173,172.6238538174,39370474,0.0,1.0
2020-05-04 00:00:00+00:00,178.84,179.0,173.8,174.49,30372862,175.608930698,175.7660400075,170.6599874486,171.3375213458,30372862,0.0,1.0
2020-05-05 00:00:00+00:00,180.76,183.65,179.9,180.62,36839168,177.494242412,180.3320293149,176.6497798735,177.3567717662,36839168,0.0,1.0
2020-05-06 00:00:00+00:00,182.54,184.2,181.63,182.08,32139299,179.2420834803,180.8720925664,178.3485242825,178.7903942154,32139299,0.0,1.0
2020-05-07 00:00:00+00:00,183.6,184.55,182.58,184.17,28315992,180.2829326557,181.2157691809,179.2813608076,180.8426345708,28315992,0.0,1.0
2020-05-08 00:00:00+00:00,184.68,185.0,183.36,184.98,30912638,181.3434204949,181.6576391139,180.0472686915,181.6380004502,30912638,0.0,1.0
2020-05-11 00:00:00+00:00,186.74,187.51,182.85,183.15,30892660,183.3662028547,184.1222914067,179.5464827674,179.8410627227,30892660,0.0,1.0
2020-05-12 00:00:00+00:00,182.51,187.04,182.3,186.8,32038199,179.2126254847,183.6607828101,179.006419516,183.4251188458,32038199,0.0,1.0
2020-05-13 00:00:00+00:00,179.75,184.05,176.54,182.55,44711488,176.5024898958,180.7248025887,173.3504843739,179.2519028121,44711488,0.0,1.0
2020-05-14 00:00:00+00:00,180.53,180.69,175.68,177.54,41873911,177.2683977796,177.4255070891,172.5060218353,174.3324175583,41873911,0.0,1.0
2020-05-15 00:00:00+00:00,183.16,187.06,177.0,179.06,46610382,179.8508820546,183.6804214737,173.8021736387,175.8249559986,46610382,0.0,1.0
2020-05-18 00:00:00+00:00,184.91,186.2,183.96,185.75,35306620,181.5692651273,182.8359589352,180.6364286021,182.3940890022,35306620,0.0,1.0
2020-05-19 00:00:00+00:00,183.63,186.6,183.49,185.03,26799116,180.3123906513,183.2287322089,180.1749200054,181.6870971094,26799116,0.0,1.0
2020-05-20 00:00:00+00:00,185.66,185.85,183.94,184.81,31261334,182.8065009396,182.993580737,181.1129364582,181.9695650041,31261334,0.51,1.0
2020-05-21 00:00:00+00:00,183.43,186.67,183.29,185.4,29032741,180.6107748969,183.8009777572,180.4729266252,182.5504970064,29032741,0.0,1.0
2020-05-22 00:00:00+00:00,183.51,184.46,182.54,183.19,20826898,180.6895453379,181.6249443247,179.7344537408,180.3744635739,20826898,0.0,1.0
2020-05-26 00:00:00+00:00,181.57,186.5,181.1,186.34,36073609,178.7793621438,183.6335905701,178.3165858029,183.4760496881,36073609,0.0,1.0
2020-05-27 00:00:00+00:00,181.81,181.99,176.6,180.2,39517146,179.0156734667,179.192906959,173.8857484969,177.4304183417,39517146,0.0,1.0
2020-05-28 00:00:00+00:00,181.4,184.15,180.38,180.74,33831824,178.6119749566,181.3197088658,177.607651834,177.9621188184,33831824,0.0,1.0
2020-05-29 00:00:00+00:00,183.25,184.27,180.41,182.73,42146720,180.4335414047,181.4378645273,177.6371907493,179.9215335382,42146720,0.0,1.0
2020-06-01 00:00:00+00:00,182.83,183.0,181.46,182.54,22668821,180.0199965894,180.1873837765,178.6710527874,179.7344537408,22668821,0.0,1.0
